res_type,state_fips,station_id,direct_of_travel,lane_of_travel,year,func_class_code,num_lanes_direc_indicated,sample_type_for_traffic_vol,num_lanes_monitored_for_traffic_vol,method_of_traffic_vol_counting,sample_type_for_vehicle_class,num_lanes_monitored_for_vehicle_class,method_of_vehicle_class,alg_for_vehicle_class,class_sys_for_vehicle_class,sample_type_for_truck_weight,num_lanes_monitored_for_truck_weight,method_of_truck_weighing,calibration_of_weighing_sys,method_of_data_retrieval,type_of_sensor,second_type_of_sensor,primary_purpose,lrs_identification,lrs_location_point,latitude,longitude,shrp_site_identification,prev_station_id,year_station_established,year_station_discontinued,fips_county_code,hpms_sample_type,hpms_sample_identifier,national_highway_sys,posted_route_sign,posted_sign_route_num,concurrent_route_signing,concurrent_signed_route_num,station_location
$1,02,000125,7,0,13,1U,3,T,3,3," ",0,0," ",13," ",0,0," ",2,L," ",P,001350000000,"   412",61219344,149815149,"    ","      ",90,0,001,1,130000012924,1,3,00000001,0,00000000,"GLENN HIGHWAY - WEST OF BRAGAW                    "
$1,02,000126,1,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001343000000,"  7306","        ","         ","    ","      ",92,0,001,1,000105440000,1,0,"000000  ",0,00000000,"MINNESOTA DRIVE - SOUTH OF INT                    "
$1,02,000126,5,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001343000000,"  7306","        ","         ","    ","      ",92,0,001,1,000105440000,1,0,"000000  ",0,00000000,"MINNESOTA DRIVE - SOUTH OF INT                    "
$1,02,000127,3,0,13,3R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001176000000," 11371","        ","         ","    ","      ",89,0,001,1,117600000624,1,0,"000000  ",0,00000000,"KENAI SPUR HIGHWAY - WEST OF B                    "
$1,02,000127,7,0,13,3R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001176000000," 11371","        ","         ","    ","      ",89,0,001,1,117600000624,1,0,"000000  ",0,00000000,"KENAI SPUR HIGHWAY - WEST OF B                    "
$1,02,000128,1,0,13,1R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001300000000,124273,"        ","         ","    ","      ",90,0,001,1,130000007916,1,1,"0000A3  ",0,00000000,"SEWARD HIGHWAY AT PLACER RIVER                    "
$1,02,000128,5,0,13,1R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001300000000,124273,"        ","         ","    ","      ",90,0,001,1,130000007916,1,1,"0000A3  ",0,00000000,"SEWARD HIGHWAY AT PLACER RIVER                    "
$1,02,000129,1,0,13,5U,1,T,1,3,H,1,3,G,15," ",0,0," ",2,P,L,P,001337550000,"   429",61143793,149982045,"    ","      ",89,0,001,1,133700001577,0,0,00000000,0,00000000,"SAND LAKE ROAD - NORTH OF DIMO                    "
$1,02,000129,5,0,13,5U,1,T,1,3,H,1,3,G,15," ",0,0," ",2,P,L,P,001337550000,"   429",61143793,149982045,"    ","      ",89,0,001,1,133700001577,0,0,00000000,0,00000000,"SAND LAKE ROAD - NORTH OF DIMO                    "
$1,02,000131,3,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001347500000,"  6952","        ","         ","    ","      ",92,0,001,1,134750000372,0,0,"000000  ",0,00000000,"NORTHERN LIGHTS BLVD - EAST OF                    "
$1,02,000131,7,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001347500000,"  6952","        ","         ","    ","      ",92,0,001,1,134750000372,0,0,"000000  ",0,00000000,"NORTHERN LIGHTS BLVD - EAST OF                    "
$1,02,000132,3,0,13,4U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,Z," ",P,001352250000,"  2108","        ","         ","    ","      ",92,0,001,1,135225000000,0,0,"000000  ",0,00000000,"EAGLE RIVER ROAD AT CARIBOU ST                    "
$1,02,000132,7,0,13,4U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,Z," ",P,001352250000,"  2108","        ","         ","    ","      ",92,0,001,1,135225000000,0,0,"000000  ",0,00000000,"EAGLE RIVER ROAD AT CARIBOU ST                    "
$1,02,000134,3,0,13,4R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,000800000000,"  1746","        ","         ","    ","      ",92,0,001,1,080000000000,0,0,"000000  ",0,00000000,"CHIEF EDDIE HOFFMAN HWY - N OF                    "
$1,02,000134,7,0,13,4R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,000800000000,"  1746","        ","         ","    ","      ",92,0,001,1,080000000000,0,0,"000000  ",0,00000000,"CHIEF EDDIE HOFFMAN HWY - N OF                    "
$1,02,000143,1,0,13,1U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,B," ",P,001300000000,196304,"        ","         ","    ","      ",88,0,001,1,130000012301,1,1,"0000A3  ",0,00000000,"SEWARD HIGHWAY - SOUTH OF 76TH                    "
$1,02,000143,5,0,13,1U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,B," ",P,001300000000,196304,"        ","         ","    ","      ",88,0,001,1,130000012301,1,1,"0000A3  ",0,00000000,"SEWARD HIGHWAY - SOUTH OF 76TH                    "
$1,02,000144,1,0,13,1R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001350000000," 57075","        ","         ","    ","      ",93,0,001,1,130000016346,1,1,"0000A1  ",0,00000000,"GLENN HIGHWAY AT KEPLER DRIVE                     "
$1,02,000144,5,0,13,1R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001350000000," 57075","        ","         ","    ","      ",93,0,001,1,130000016346,1,1,"0000A1  ",0,00000000,"GLENN HIGHWAY AT KEPLER DRIVE                     "
$1,02,000179,1,0,13,4R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001177900000,"  4863","        ","         ","    ","      ",94,0,001,1,117626000129,0,0,"000000  ",0,00000000,"BRIDGE ACCESS ROAD - NORTH OF                     "
$1,02,000179,5,0,13,4R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001177900000,"  4863","        ","         ","    ","      ",94,0,001,1,117626000129,0,0,"000000  ",0,00000000,"BRIDGE ACCESS ROAD - NORTH OF                     "
$1,02,000180,1,0,13,3R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001300000000," 50530","        ","         ","    ","      ",94,0,001,1,130000002915,1,0,"000000  ",0,00000000,"SEWARD HIGHWAY AT MOOSE PASS -                    "
$1,02,000180,5,0,13,3R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001300000000," 50530","        ","         ","    ","      ",94,0,001,1,130000002915,1,0,"000000  ",0,00000000,"SEWARD HIGHWAY AT MOOSE PASS -                    "
$1,02,000183,1,0,13,1R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001100000000," 69047","        ","         ","    ","      ",94,0,001,1,110000009196,1,1,"        ",0,00000000,"STERLING HIGHWAY - WEST OF KEN                    "
$1,02,000183,5,0,13,1R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001100000000," 69047","        ","         ","    ","      ",94,0,001,1,110000009196,1,1,"        ",0,00000000,"STERLING HIGHWAY - WEST OF KEN                    "
$1,02,000189,3,0,13,3R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001100000000,213402,"        ","         ","    ","      ",95,0,001,0,"            ",1,0,"000000  ",0,00000000,"STERLING HIGHWAY - BTWN LAKE A                    "
$1,02,000189,7,0,13,3R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001100000000,213402,"        ","         ","    ","      ",95,0,001,0,"            ",1,0,"000000  ",0,00000000,"STERLING HIGHWAY - BTWN LAKE A                    "
$1,02,000220,1,0,13,1R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001350000000," 41109","        ","         ","    ","      ",90,0,001,1,130000015404,1,1,"0000A1  ",0,00000000,"GLENN HIGHWAY AT EKLUTNA FLATS                    "
$1,02,000220,5,0,13,1R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001350000000," 41109","        ","         ","    ","      ",90,0,001,1,130000015404,1,1,"0000A1  ",0,00000000,"GLENN HIGHWAY AT EKLUTNA FLATS                    "
$1,02,000230,3,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001345000000,"  1303","        ","         ","    ","      ",95,0,001,0,"            ",0,0,"000000  ",0,00000000,"DEBARR ROAD - EAST OF WINTERGR                    "
$1,02,000230,7,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001345000000,"  1303","        ","         ","    ","      ",95,0,001,0,"            ",0,0,"000000  ",0,00000000,"DEBARR ROAD - EAST OF WINTERGR                    "
$1,02,000237,1,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001343000000," 11603","        ","         ","    ","      ",86,0,001,1,134300004340,1,0,"000000  ",0,00000000,"MINNESOTA DRIVE AT CHESTER CRE                    "
$1,02,000237,5,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001344000000,"  1351","        ","         ","    ","      ",86,0,001,1,134400002170,1,0,"000000  ",0,00000000,"MINNESOTA DRIVE AT CHESTER CRE                    "
$1,02,000238,1,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001332000000,"  6292","        ","         ","    ","      ",94,0,001,0,"            ",0,0,"000000  ",0,00000000,"OLD SEWARD HIGHWAY - NORTH OF                     "
$1,02,000238,5,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001332000000,"  6292","        ","         ","    ","      ",94,0,001,0,"            ",0,0,"000000  ",0,00000000,"OLD SEWARD HIGHWAY - NORTH OF                     "
$1,02,000242,1,0,13,4U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001343300000,"  6163","        ","         ","    ","      ",1,0,001,0,"            ",0,0,"000000  ",0,00000000,"ARCTIC BOULEVARD - SOUTH OF 76                    "
$1,02,000242,5,0,13,4U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001343300000,"  6163","        ","         ","    ","      ",1,0,001,0,"            ",0,0,"000000  ",0,00000000,"ARCTIC BOULEVARD - SOUTH OF 76                    "
$1,02,000270,1,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,E," ",P,001343000000,"  4667","        ","         ","    ","      ",0,0,001,0,"            ",1,0,"000000  ",0,00000000,"MINNESOTA DRIVE - NORTH OF DIM                    "
$1,02,000270,5,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,E," ",P,001343000000,"  4667","        ","         ","    ","      ",0,0,001,0,"            ",1,0,"000000  ",0,00000000,"MINNESOTA DRIVE - NORTH OF DIM                    "
$1,02,000271,1,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,B," ",P,001343440000,"   370","        ","         ","    ","      ",1,0,001,1,134344000000,1,0,"000000  ",0,00000000,"OCEAN DOCK RD - PORT OF ANCHOR                    "
$1,02,000271,5,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,E," ",P,001343440000,"   370","        ","         ","    ","      ",1,0,001,1,134344000000,1,0,"000000  ",0,00000000,"OCEAN DOCK RD - PORT OF ANCHOR                    "
$1,02,000272,3,0,13,4R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001154000000," 33836","        ","         ","    ","      ",1,0,001,0,"            ",0,0,"000000  ",0,00000000,"KALIFORNSKY BEACH ROAD - WEST                     "
